student_id,enrollment_date,ground_school_complete,first_flight_date,solo_flight_date,checkride_ready_date,checkride_passed_date,status
STUD_0033,2024-02-02,2024-02-09,2024-02-12,2024-02-29,2024-03-19,2024-03-25,Certified
STUD_0034,2024-02-07,2024-02-21,2024-02-24,2024-03-15,2024-03-28,2024-04-07,Certified
STUD_0035,2024-02-15,2024-02-24,2024-03-03,,,,Dropped
STUD_0036,2024-02-11,2024-02-21,2024-02-24,,,,Dropped
STUD_0037,2024-02-09,2024-02-15,2024-02-25,2024-03-14,2024-03-29,2024-04-03,Certified
STUD_0038,2024-02-26,2024-03-06,2024-03-10,2024-03-29,2024-04-18,2024-04-27,Certified
STUD_0039,2024-01-01,2024-01-14,2024-01-20,2024-02-02,2024-02-14,2024-02-21,Certified
STUD_0040,2024-01-08,2024-01-15,2024-01-21,2024-02-06,2024-02-19,2024-02-29,Certified
STUD_0041,2024-02-10,2024-02-19,2024-02-21,,,,Dropped
STUD_0042,2024-01-28,,,,,,Dropped
STUD_0043,2024-01-22,2024-01-31,2024-02-04,2024-02-27,2024-03-09,2024-03-14,Certified
STUD_0044,2024-03-01,2024-03-14,2024-03-16,2024-03-30,2024-04-09,2024-04-16,Certified
STUD_0045,2024-01-24,2024-01-29,2024-02-05,2024-02-22,2024-03-08,2024-03-17,Certified
STUD_0046,2024-02-26,2024-03-04,2024-03-09,2024-03-24,2024-04-03,2024-04-09,Certified
STUD_0047,2024-02-17,2024-02-28,2024-03-04,2024-03-17,2024-03-27,2024-04-04,Certified
STUD_0048,2024-01-15,2024-01-27,2024-02-03,2024-02-20,2024-03-11,2024-03-17,Certified
STUD_0049,2024-01-26,2024-02-01,2024-02-07,2024-02-29,2024-03-18,2024-03-25,Certified
STUD_0050,2024-03-01,2024-03-10,2024-03-14,2024-04-01,,,Dropped
STUD_0051,2024-02-08,2024-02-18,2024-02-26,2024-03-10,2024-03-29,2024-04-04,Certified
STUD_0052,2024-01-17,2024-01-28,2024-01-30,2024-02-15,2024-02-26,2024-03-07,Certified
STUD_0053,2024-02-28,2024-03-09,2024-03-12,2024-03-31,2024-04-20,2024-04-28,Certified
STUD_0054,2024-01-21,2024-01-30,2024-02-09,,,,Dropped
STUD_0055,2024-01-27,2024-02-07,2024-02-11,2024-03-01,2024-03-11,2024-03-18,Certified
STUD_0056,2024-01-19,2024-02-02,2024-02-09,2024-03-04,2024-03-22,2024-03-30,Certified
STUD_0057,2024-02-20,2024-02-27,2024-03-01,2024-03-21,,,Dropped
STUD_0058,2024-03-01,2024-03-09,2024-03-14,,,,Dropped
STUD_0059,2024-01-03,2024-01-15,2024-01-18,2024-02-03,2024-02-19,2024-02-27,Certified
STUD_0060,2024-01-26,2024-02-10,2024-02-12,2024-02-25,2024-03-09,2024-03-15,Certified
STUD_0061,2024-02-21,2024-02-26,2024-03-07,2024-03-20,2024-04-06,2024-04-16,Certified
STUD_0062,2024-02-03,2024-02-15,2024-02-25,2024-03-20,2024-04-06,2024-04-14,Certified
STUD_0063,2024-01-17,2024-01-26,2024-02-05,2024-02-22,2024-03-04,2024-03-14,Certified
STUD_0064,2024-01-19,2024-01-29,2024-02-05,2024-02-17,2024-03-01,2024-03-09,Certified
STUD_0065,2024-02-14,2024-02-22,2024-02-25,2024-03-16,2024-04-01,2024-04-06,Certified
STUD_0066,2024-01-14,2024-01-28,2024-01-30,2024-02-21,2024-03-07,2024-03-14,Certified
STUD_0067,2024-02-18,2024-02-29,2024-03-10,2024-03-27,2024-04-10,2024-04-18,Certified
STUD_0068,2024-02-01,2024-02-11,2024-02-19,2024-03-14,2024-04-02,2024-04-11,Certified
STUD_0069,2024-01-02,2024-01-17,2024-01-19,,,,Dropped
STUD_0070,2024-01-28,2024-02-09,2024-02-13,,,,Dropped
STUD_0071,2024-01-25,2024-02-06,2024-02-13,2024-03-06,2024-03-22,2024-03-29,Certified
STUD_0072,2024-02-23,2024-02-28,2024-03-09,,,,Dropped
STUD_0073,2024-03-01,2024-03-16,2024-03-19,2024-03-30,2024-04-12,2024-04-18,Certified
STUD_0074,2024-02-23,2024-03-01,2024-03-06,,,,Dropped
STUD_0075,2024-02-12,2024-02-20,2024-02-29,2024-03-21,2024-04-09,2024-04-19,Certified
STUD_0076,2024-02-15,2024-02-22,2024-02-28,,,,Dropped
STUD_0077,2024-01-02,2024-01-13,2024-01-21,2024-02-06,,,Dropped
STUD_0078,2024-02-14,2024-02-23,2024-02-26,2024-03-08,2024-03-24,2024-04-03,Certified
STUD_0079,2024-01-24,2024-02-08,2024-02-15,,,,Dropped
STUD_0080,2024-01-27,,,,,,Dropped
STUD_0081,2024-01-24,2024-02-05,2024-02-09,2024-02-27,2024-03-16,2024-03-24,Certified
STUD_0082,2024-01-30,2024-02-13,2024-02-19,2024-03-07,2024-03-18,2024-03-25,Certified
STUD_0083,2024-02-26,2024-03-09,2024-03-17,2024-04-11,2024-04-23,2024-05-01,Certified
STUD_0084,2024-01-14,2024-01-23,2024-01-30,2024-02-17,2024-03-06,2024-03-12,Certified
STUD_0085,2024-01-06,2024-01-17,2024-01-26,2024-02-12,2024-03-03,2024-03-13,Certified
STUD_0086,2024-02-01,2024-02-06,2024-02-09,2024-03-02,2024-03-16,2024-03-26,Certified
STUD_0087,2024-02-07,2024-02-20,2024-03-01,2024-03-21,2024-04-07,2024-04-14,Certified
STUD_0088,2024-01-20,2024-01-26,2024-01-31,2024-02-15,2024-03-03,2024-03-10,Certified
STUD_0089,2024-02-16,2024-02-29,2024-03-06,2024-03-22,2024-04-06,2024-04-12,Certified
STUD_0090,2024-01-20,2024-02-02,2024-02-06,2024-02-17,2024-02-29,2024-03-10,Certified
STUD_0091,2024-02-25,,,,,,Dropped
STUD_0092,2024-01-01,2024-01-13,2024-01-22,2024-02-06,2024-02-20,2024-02-28,Certified
STUD_0093,2024-01-08,2024-01-14,2024-01-16,2024-02-04,,,Dropped
STUD_0094,2024-01-16,2024-01-27,2024-02-01,2024-02-23,2024-03-11,2024-03-18,Certified
STUD_0095,2024-02-25,2024-03-07,2024-03-13,2024-03-24,2024-04-04,2024-04-10,Certified
STUD_0096,2024-02-10,2024-02-25,2024-02-28,2024-03-14,2024-03-26,2024-03-31,Certified
STUD_0097,2024-01-27,2024-02-10,2024-02-19,2024-03-07,2024-03-21,2024-03-31,Certified
STUD_0098,2024-02-25,2024-03-11,2024-03-16,2024-04-01,2024-04-19,2024-04-25,Certified
STUD_0099,2024-02-11,2024-02-20,2024-02-24,,,,Dropped
STUD_0100,2024-01-11,2024-01-25,2024-01-31,2024-02-24,2024-03-11,2024-03-18,Certified
STUD_0101,2024-02-02,2024-02-14,2024-02-17,2024-03-11,2024-03-30,2024-04-06,Certified
STUD_0102,2024-01-02,2024-01-17,2024-01-19,2024-02-06,2024-02-18,2024-02-26,Certified
STUD_0103,2024-02-03,2024-02-12,2024-02-16,2024-03-10,2024-03-27,2024-04-01,Certified
STUD_0104,2024-01-31,2024-02-10,2024-02-17,2024-03-03,2024-03-20,2024-03-27,Certified
STUD_0105,2024-02-12,2024-02-25,2024-02-27,2024-03-18,2024-03-29,2024-04-06,Certified
STUD_0106,2024-02-25,2024-03-01,2024-03-11,2024-03-22,2024-04-06,2024-04-15,Certified
STUD_0107,2024-02-18,2024-03-01,2024-03-03,2024-03-17,2024-04-03,2024-04-13,Certified
STUD_0108,2024-02-01,2024-02-16,2024-02-21,2024-03-11,2024-03-29,2024-04-06,Certified
STUD_0109,2024-01-06,2024-01-12,2024-01-21,2024-02-04,2024-02-18,2024-02-27,Certified
STUD_0110,2024-02-15,2024-02-27,2024-03-07,2024-03-21,2024-04-09,2024-04-18,Certified
STUD_0111,2024-02-17,2024-02-26,2024-03-05,2024-03-23,2024-04-06,2024-04-16,Certified
STUD_0112,2024-01-20,2024-02-04,2024-02-13,2024-03-08,2024-03-23,2024-03-30,Certified
STUD_0113,2024-02-05,2024-02-15,2024-02-20,2024-03-08,2024-03-21,2024-03-29,Certified
STUD_0114,2024-01-03,2024-01-15,2024-01-23,2024-02-06,2024-02-16,2024-02-22,Certified
STUD_0115,2024-02-02,2024-02-08,2024-02-17,,,,Dropped
STUD_0116,2024-02-28,2024-03-06,2024-03-14,2024-03-28,,,Dropped
STUD_0117,2024-02-20,2024-03-02,2024-03-05,2024-03-27,2024-04-16,2024-04-26,Certified
STUD_0118,2024-02-26,2024-03-02,2024-03-05,2024-03-24,2024-04-04,2024-04-12,Certified
STUD_0119,2024-01-07,2024-01-13,2024-01-22,2024-02-10,2024-02-20,2024-02-27,Certified
STUD_0120,2024-02-20,2024-03-01,2024-03-08,2024-03-25,2024-04-13,2024-04-23,Certified
STUD_0121,2024-02-20,2024-02-27,2024-03-01,2024-03-23,2024-04-05,2024-04-13,Certified
STUD_0122,2024-02-28,2024-03-07,2024-03-16,2024-04-09,2024-04-19,2024-04-27,Certified
STUD_0123,2024-02-27,2024-03-11,2024-03-15,,,,Dropped
STUD_0124,2024-03-01,2024-03-15,2024-03-21,2024-04-13,2024-04-30,2024-05-07,Certified
STUD_0125,2024-01-13,2024-01-19,2024-01-24,2024-02-14,2024-02-28,2024-03-04,Certified
STUD_0126,2024-02-23,2024-03-03,2024-03-05,2024-03-16,2024-04-02,2024-04-09,Certified
STUD_0127,2024-02-19,2024-02-29,2024-03-05,2024-03-23,2024-04-12,2024-04-22,Certified
STUD_0128,2024-02-23,2024-02-29,2024-03-02,2024-03-26,,,Dropped
STUD_0129,2024-01-24,2024-01-30,2024-02-05,2024-02-28,2024-03-11,2024-03-20,Certified
STUD_0130,2024-02-26,2024-03-06,2024-03-10,2024-04-04,2024-04-18,2024-04-28,Certified
STUD_0131,2024-02-25,2024-03-02,2024-03-11,2024-03-25,2024-04-07,2024-04-17,Certified
STUD_0132,2024-02-16,2024-02-27,2024-03-08,2024-03-30,,,Dropped
STUD_0133,2024-02-04,2024-02-14,2024-02-20,2024-03-12,2024-03-25,2024-04-02,Certified
STUD_0134,2024-01-02,2024-01-15,2024-01-22,2024-02-08,2024-02-28,2024-03-07,Certified
STUD_0135,2024-02-28,2024-03-14,2024-03-22,,,,Dropped
STUD_0136,2024-01-03,2024-01-15,2024-01-18,,,,Dropped
STUD_0137,2024-02-26,2024-03-08,2024-03-17,2024-04-09,2024-04-21,2024-04-29,Certified
STUD_0138,2024-02-11,2024-02-23,2024-03-02,2024-03-20,,,Dropped
STUD_0139,2024-01-24,2024-02-05,2024-02-10,2024-02-23,2024-03-09,2024-03-18,Certified
STUD_0140,2024-02-27,2024-03-09,2024-03-15,2024-03-28,2024-04-14,2024-04-19,Certified
STUD_0141,2024-02-12,2024-02-27,2024-02-29,,,,Dropped
STUD_0142,2024-01-22,2024-01-29,2024-02-03,,,,Dropped
STUD_0143,2024-02-18,2024-03-03,2024-03-08,2024-03-25,2024-04-06,2024-04-15,Certified
STUD_0144,2024-01-01,2024-01-08,2024-01-12,2024-01-27,2024-02-06,2024-02-12,Certified
STUD_0145,2024-01-01,2024-01-09,2024-01-16,,,,Dropped
STUD_0146,2024-01-17,2024-01-28,2024-02-07,,,,Dropped
STUD_0147,2024-01-05,2024-01-15,2024-01-25,2024-02-18,2024-03-08,2024-03-13,Certified
STUD_0148,2024-02-16,2024-02-29,2024-03-06,2024-03-16,,,Dropped
STUD_0149,2024-01-31,2024-02-06,2024-02-15,2024-03-10,,,Dropped
STUD_0150,2024-01-06,2024-01-13,2024-01-16,,,,Dropped
STUD_0151,2024-02-09,2024-02-22,2024-02-29,2024-03-19,2024-04-07,2024-04-15,Certified
STUD_0152,2024-01-07,,,,,,Dropped
STUD_0153,2024-02-11,2024-02-24,2024-02-29,2024-03-17,2024-04-03,2024-04-11,Certified
STUD_0154,2024-01-27,2024-02-06,2024-02-14,2024-03-03,2024-03-15,2024-03-25,Certified
STUD_0155,2024-02-29,2024-03-06,2024-03-09,,,,Dropped
STUD_0156,2024-01-07,2024-01-17,2024-01-21,2024-02-10,2024-02-26,2024-03-04,Certified
STUD_0157,2024-02-25,2024-03-07,2024-03-09,2024-03-28,2024-04-16,2024-04-25,Certified
STUD_0158,2024-01-14,2024-01-26,2024-01-31,2024-02-21,2024-03-07,2024-03-12,Certified
STUD_0159,2024-02-18,2024-02-26,2024-03-05,2024-03-15,2024-04-04,2024-04-14,Certified
STUD_0160,2024-01-18,2024-01-27,2024-02-02,2024-02-23,,,Dropped
STUD_0161,2024-02-25,2024-03-11,2024-03-19,,,,Dropped
STUD_0162,2024-02-17,2024-02-22,2024-02-25,2024-03-12,2024-03-29,2024-04-05,Certified
STUD_0163,2024-01-11,2024-01-21,2024-01-24,2024-02-07,2024-02-26,2024-03-02,Certified
STUD_0164,2024-02-13,2024-02-25,2024-03-04,2024-03-28,2024-04-10,2024-04-19,Certified
STUD_0165,2024-01-08,2024-01-14,2024-01-20,2024-02-14,2024-02-28,2024-03-04,Certified
STUD_0166,2024-01-15,2024-01-29,2024-01-31,,,,Dropped
STUD_0167,2024-01-20,2024-01-29,2024-02-04,2024-02-14,2024-03-01,2024-03-07,Certified
STUD_0168,2024-01-09,2024-01-17,2024-01-27,2024-02-17,,,Dropped
STUD_0169,2024-02-25,2024-03-07,2024-03-09,2024-03-21,2024-04-09,2024-04-17,Certified
STUD_0170,2024-02-06,2024-02-21,2024-02-29,2024-03-22,,,Dropped
STUD_0171,2024-01-21,2024-02-04,2024-02-13,2024-03-05,,,Dropped
STUD_0172,2024-02-24,2024-03-06,2024-03-14,2024-04-05,2024-04-20,2024-04-26,Certified
STUD_0173,2024-01-22,,,,,,Dropped
STUD_0174,2024-02-10,2024-02-23,2024-02-28,2024-03-20,2024-04-09,2024-04-15,Certified
STUD_0175,2024-01-16,2024-01-25,2024-01-30,2024-02-13,2024-03-04,2024-03-09,Certified
STUD_0176,2024-01-12,2024-01-24,2024-02-02,2024-02-22,2024-03-13,2024-03-20,Certified
STUD_0177,2024-01-10,2024-01-22,2024-01-31,2024-02-18,2024-03-04,2024-03-13,Certified
STUD_0178,2024-01-05,2024-01-17,2024-01-19,,,,Dropped
STUD_0179,2024-02-23,2024-03-09,2024-03-12,2024-04-03,2024-04-21,2024-05-01,Certified
STUD_0180,2024-02-27,2024-03-12,2024-03-17,2024-04-11,2024-04-21,2024-04-29,Certified
STUD_0181,2024-01-07,2024-01-13,2024-01-23,2024-02-03,2024-02-20,2024-02-28,Certified
STUD_0182,2024-02-03,2024-02-10,2024-02-17,2024-03-07,2024-03-22,2024-04-01,Certified
STUD_0183,2024-02-08,2024-02-23,2024-03-01,,,,Dropped
STUD_0184,2024-01-07,2024-01-18,2024-01-24,2024-02-07,2024-02-26,2024-03-07,Certified
STUD_0185,2024-01-10,2024-01-25,2024-02-02,,,,Dropped
STUD_0186,2024-02-15,2024-02-26,2024-03-04,2024-03-16,2024-04-01,2024-04-10,Certified
STUD_0187,2024-01-24,2024-02-02,2024-02-06,2024-02-26,2024-03-14,2024-03-20,Certified
STUD_0188,2024-01-15,,,,,,Dropped
STUD_0189,2024-01-19,,,,,,Dropped
STUD_0190,2024-02-19,2024-03-03,2024-03-05,2024-03-19,2024-03-31,2024-04-06,Certified
STUD_0191,2024-01-12,2024-01-19,2024-01-28,,,,Dropped
STUD_0192,2024-01-24,2024-02-01,2024-02-10,2024-03-05,2024-03-18,2024-03-25,Certified
STUD_0193,2024-02-21,2024-02-29,2024-03-07,2024-03-31,2024-04-14,2024-04-22,Certified
STUD_0194,2024-02-02,2024-02-09,2024-02-14,2024-02-28,2024-03-09,2024-03-19,Certified
STUD_0195,2024-01-31,2024-02-06,2024-02-16,2024-03-06,,,Dropped
STUD_0196,2024-01-11,2024-01-24,2024-01-28,2024-02-09,2024-02-22,2024-03-01,Certified
STUD_0197,2024-02-26,2024-03-02,2024-03-10,,,,Dropped
STUD_0198,2024-02-02,2024-02-13,2024-02-16,2024-02-26,2024-03-08,2024-03-18,Certified
STUD_0199,2024-02-11,2024-02-18,2024-02-22,,,,Dropped
STUD_0200,2024-02-28,2024-03-06,2024-03-15,2024-03-25,2024-04-04,2024-04-11,Certified
